Area,Perimeter,Class,,,,,,,,,,,,,,
28395,610.291,SEKER,,,,,,,,,,,,,,
28734,638.018,SEKER,,,,,,,,,,,,,,
29380,624.11,SEKER,,,,,,,,,,,,,,
30008,645.884,SEKER,,,,,,,,,,,,,,
30140,620.134,SEKER,,,,,,,,,,,,,,
30279,634.927,SEKER,,,,,,,,,,,,,,
30477,670.033,SEKER,,,,,,,,,,,,,,
30519,629.727,SEKER,,,,,,,,,,,,,,
30685,635.681,SEKER,,,,,,,,,,,,,,
30834,631.934,SEKER,,,,,,,,,,,,,,
30917,640.765,SEKER,,,,,,,,,,,,,,
31091,638.558,SEKER,,,,,,,,,,,,,,
31107,640.594,SEKER,,,,,,,,,,,,,,
31158,642.626,SEKER,,,,,,,,,,,,,,
31158,641.105,SEKER,,,,,,,,,,,,,,
31178,636.888,SEKER,,,,,,,,,,,,,,
31202,644.454,SEKER,,,,,,,,,,,,,,
31203,639.782,SEKER,,,,,,,,,,,,,,
31272,638.666,SEKER,,,,,,,,,,,,,,
31335,635.011,SEKER,,,,,,,,,,,,,,
31374,636.401,SEKER,,,,,,,,,,,,,,
31530,638.857,SEKER,,,,,,,,,,,,,,
31573,674.103,SEKER,,,,,,,,,,,,,,
31637,656.711,SEKER,,,,,,,,,,,,,,
31675,657.431,SEKER,,,,,,,,,,,,,,
31682,646.721,SEKER,,,,,,,,,,,,,,
31703,656.305,SEKER,,,,,,,,,,,,,,
31748,641.826,SEKER,,,,,,,,,,,,,,
31768,650.954,SEKER,,,,,,,,,,,,,,
31811,642.092,SEKER,,,,,,,,,,,,,,
31821,649.681,SEKER,,,,,,,,,,,,,,
31823,662.532,SEKER,,,,,,,,,,,,,,
31837,656.404,SEKER,,,,,,,,,,,,,,
31915,640.718,SEKER,,,,,,,,,,,,,,
31972,639.974,SEKER,,,,,,,,,,,,,,
31992,640.338,SEKER,,,,,,,,,,,,,,
31994,654.535,SEKER,,,,,,,,,,,,,,
32015,653.676,SEKER,,,,,,,,,,,,,,
32026,654.237,SEKER,,,,,,,,,,,,,,
32038,645.085,SEKER,,,,,,,,,,,,,,
32044,652.651,SEKER,,,,,,,,,,,,,,
32057,642.082,SEKER,,,,,,,,,,,,,,
32066,669.313,SEKER,,,,,,,,,,,,,,
32109,663.582,SEKER,,,,,,,,,,,,,,
32114,648.566,SEKER,,,,,,,,,,,,,,
32167,654.893,SEKER,,,,,,,,,,,,,,
32213,658.216,SEKER,,,,,,,,,,,,,,
32218,653.595,SEKER,,,,,,,,,,,,,,
32233,665.493,SEKER,,,,,,,,,,,,,,
32251,644.051,SEKER,,,,,,,,,,,,,,
32258,654.808,SEKER,,,,,,,,,,,,,,
32262,652.419,SEKER,,,,,,,,,,,,,,
32279,646.556,SEKER,,,,,,,,,,,,,,
32323,649.59,SEKER,,,,,,,,,,,,,,
32338,653.602,SEKER,,,,,,,,,,,,,,
32355,657.166,SEKER,,,,,,,,,,,,,,
32368,675.385,SEKER,,,,,,,,,,,,,,
32376,643.009,SEKER,,,,,,,,,,,,,,
32433,653.76,SEKER,,,,,,,,,,,,,,
32465,653.85,SEKER,,,,,,,,,,,,,,
32514,649.012,SEKER,,,,,,,,,,,,,,
32518,651.651,SEKER,,,,,,,,,,,,,,
32518,655.131,SEKER,,,,,,,,,,,,,,
32525,663.914,SEKER,,,,,,,,,,,,,,
32578,657.571,SEKER,,,,,,,,,,,,,,
32581,649.583,SEKER,,,,,,,,,,,,,,
32615,664.789,SEKER,,,,,,,,,,,,,,
32622,657.009,SEKER,,,,,,,,,,,,,,
32698,653.049,SEKER,,,,,,,,,,,,,,
32705,654.454,SEKER,,,,,,,,,,,,,,
32713,660.043,SEKER,,,,,,,,,,,,,,
32729,656.679,SEKER,,,,,,,,,,,,,,
32774,660.614,SEKER,,,,,,,,,,,,,,
32775,649.807,SEKER,,,,,,,,,,,,,,
32795,651.03,SEKER,,,,,,,,,,,,,,
32796,654.824,SEKER,,,,,,,,,,,,,,
32799,653.729,SEKER,,,,,,,,,,,,,,
32829,658.101,SEKER,,,,,,,,,,,,,,
32836,669.19,SEKER,,,,,,,,,,,,,,
32849,664.105,SEKER,,,,,,,,,,,,,,
32870,655.512,SEKER,,,,,,,,,,,,,,
32885,659.728,SEKER,,,,,,,,,,,,,,
32920,671.612,SEKER,,,,,,,,,,,,,,
32925,656.646,SEKER,,,,,,,,,,,,,,
32934,668.197,SEKER,,,,,,,,,,,,,,
32947,668.231,SEKER,,,,,,,,,,,,,,
32951,688.26,SEKER,,,,,,,,,,,,,,
32988,676.797,SEKER,,,,,,,,,,,,,,
33006,669.769,SEKER,,,,,,,,,,,,,,
33010,665.85,SEKER,,,,,,,,,,,,,,
33013,652.684,SEKER,,,,,,,,,,,,,,
33019,655.703,SEKER,,,,,,,,,,,,,,
33051,663.071,SEKER,,,,,,,,,,,,,,
33058,655.511,SEKER,,,,,,,,,,,,,,
33062,667.966,SEKER,,,,,,,,,,,,,,
33078,659.456,SEKER,,,,,,,,,,,,,,
33078,652.214,SEKER,,,,,,,,,,,,,,
33089,663.915,SEKER,,,,,,,,,,,,,,
33090,653.809,SEKER,,,,,,,,,,,,,,
33143,648.385,SEKER,,,,,,,,,,,,,,
33159,653.801,SEKER,,,,,,,,,,,,,,
33168,680.621,SEKER,,,,,,,,,,,,,,
33171,654.338,SEKER,,,,,,,,,,,,,,
33194,664.658,SEKER,,,,,,,,,,,,,,
33236,660.788,SEKER,,,,,,,,,,,,,,
33248,660.068,SEKER,,,,,,,,,,,,,,
33251,658.962,SEKER,,,,,,,,,,,,,,
33276,704.493,SEKER,,,,,,,,,,,,,,
33316,670.587,SEKER,,,,,,,,,,,,,,
33319,668.601,SEKER,,,,,,,,,,,,,,
33325,674.433,SEKER,,,,,,,,,,,,,,
33330,653.776,SEKER,,,,,,,,,,,,,,
33333,679.262,SEKER,,,,,,,,,,,,,,
33338,659.103,SEKER,,,,,,,,,,,,,,
33344,661.508,SEKER,,,,,,,,,,,,,,
33382,659.434,SEKER,,,,,,,,,,,,,,
33399,664.701,SEKER,,,,,,,,,,,,,,
33421,654.804,SEKER,,,,,,,,,,,,,,
33423,659.036,SEKER,,,,,,,,,,,,,,
33427,665.61,SEKER,,,,,,,,,,,,,,
