MajorAxisLength,MinorAxisLength,Class
208.1781167,173.888747,SEKER
200.5247957,182.7344194,SEKER
212.8261299,175.9311426,SEKER
210.557999,182.5165157,SEKER
201.8478822,190.2792788,SEKER
212.5605564,181.5101816,SEKER
211.0501553,184.0390501,SEKER
212.9967551,182.7372038,SEKER
213.5341452,183.1571463,SEKER
217.2278128,180.8974686,SEKER
213.5600894,184.4398709,SEKER
210.4862549,188.3268476,SEKER
214.6485485,184.9692526,SEKER
216.4848362,183.6443122,SEKER
212.0669751,187.1929601,SEKER
212.9759252,186.5620882,SEKER
215.6406947,184.4716842,SEKER
215.067737,184.8748759,SEKER
212.4503189,187.535939,SEKER
216.7900923,184.1634403,SEKER
219.865394,182.0088637,SEKER
213.7856543,188.0664823,SEKER
217.3070261,185.4482507,SEKER
229.7192546,175.510446,SEKER
236.7526321,171.2105592,SEKER
210.0456816,192.2484159,SEKER
215.7089067,187.2724497,SEKER
219.7765183,184.1151053,SEKER
220.9594949,183.2920681,SEKER
223.9846829,180.9171228,SEKER
213.7356452,189.9692019,SEKER
222.8726889,181.8946963,SEKER
224.9125542,180.4394219,SEKER
216.3203615,188.0653069,SEKER
213.6874805,190.6449473,SEKER
212.8873637,191.4872537,SEKER
212.1713961,192.4225318,SEKER
212.9299893,191.8101346,SEKER
230.9790674,176.9318083,SEKER
224.4823211,181.9408668,SEKER
216.1471468,188.9705403,SEKER
215.9182853,189.3033869,SEKER
236.436655,173.2308993,SEKER
224.4723523,182.3644962,SEKER
222.6575074,183.8290361,SEKER
217.960517,188.2047159,SEKER
221.4811143,185.2954324,SEKER
222.7560714,184.4046839,SEKER
221.2336837,185.5923729,SEKER
220.9809628,186.0277835,SEKER
220.8040301,186.2777558,SEKER
222.6986563,184.5129929,SEKER
218.1816038,188.5531418,SEKER
217.3714574,189.591319,SEKER
221.4113413,186.136273,SEKER
221.279621,186.3604099,SEKER
221.6580649,186.1762293,SEKER
219.1300137,188.3004274,SEKER
219.8366971,188.0092368,SEKER
225.2024494,183.6920946,SEKER
221.4454899,187.1344232,SEKER
221.2627854,187.2561106,SEKER
220.8211992,187.6655865,SEKER
225.0778556,184.2147342,SEKER
227.037574,182.8423057,SEKER
224.4241779,184.9234713,SEKER
218.1467463,191.002277,SEKER
235.2708698,177.1581895,SEKER
225.0141906,185.1437243,SEKER
223.8758675,186.1499298,SEKER
215.4163208,193.4864621,SEKER
214.2657207,194.793825,SEKER
222.8700513,187.4792477,SEKER
220.0250995,189.8094038,SEKER
225.2102521,185.6002312,SEKER
223.1453687,187.4192621,SEKER
219.9055494,190.1123396,SEKER
221.5995,189.0026275,SEKER
218.4060038,191.7587728,SEKER
230.7223076,181.7436855,SEKER
220.3581629,190.0206598,SEKER
227.0674037,184.5596932,SEKER
219.0931338,191.4622125,SEKER
225.1281702,186.4615283,SEKER
221.4087308,189.6018111,SEKER
209.6932927,200.2495993,SEKER
226.6490462,185.5215755,SEKER
224.7517099,187.1772945,SEKER
223.5277491,188.2429412,SEKER
224.9712592,186.8900915,SEKER
223.7818539,188.0291423,SEKER
224.4502114,187.5026272,SEKER
218.9513714,192.4739417,SEKER
224.4458788,187.8781612,SEKER
222.0391436,189.7813412,SEKER
235.5600775,178.9312328,SEKER
221.3869025,190.3548121,SEKER
217.3358221,194.2070489,SEKER
228.406675,184.6885548,SEKER
222.5263095,189.7373793,SEKER
222.4440287,189.98042,SEKER
234.315548,180.5827539,SEKER
222.253649,190.3614532,SEKER
232.3085443,182.0856017,SEKER
210.8580025,200.9273673,SEKER
230.9698347,183.4292487,SEKER
217.452163,194.9834825,SEKER
234.7881384,180.705496,SEKER
229.2180829,185.2793615,SEKER
225.0172378,188.8365103,SEKER
223.8254842,189.7357064,SEKER
224.3601667,189.4313875,SEKER
220.5312914,192.7167056,SEKER
232.2637945,182.9185092,SEKER
225.3180561,188.668526,SEKER
222.8701044,190.920249,SEKER
221.5599425,192.0898879,SEKER
219.5440823,194.0253903,SEKER
224.1680528,189.9810797,SEKER
228.223182,186.6258656,SEKER
229.4460905,185.6980934,SEKER
219.9074077,193.6804685,SEKER
225.0025125,189.5660154,SEKER
224.2339338,190.2565986,SEKER
226.1186154,188.7406408,SEKER
219.1299474,194.5431002,SEKER
224.4599389,189.9543464,SEKER
227.9380769,187.3160543,SEKER
218.8447518,195.1928536,SEKER
227.5186814,187.9440519,SEKER
223.6835362,191.2006021,SEKER
213.7540709,199.9257014,SEKER
227.9361768,187.8565921,SEKER
224.5887253,190.4630178,SEKER
221.7110512,192.9504091,SEKER
223.7351826,191.3544824,SEKER
214.7652972,199.5241432,SEKER
222.7760833,192.2260318,SEKER
217.371862,197.0837827,SEKER
224.8894003,190.753366,SEKER
224.6629064,190.8531005,SEKER
231.6225255,185.6531262,SEKER
231.1720126,186.1264562,SEKER
221.390268,194.1359516,SEKER
218.999894,196.5777218,SEKER
230.2474971,187.1642998,SEKER
220.7538648,195.2815454,SEKER
222.9735137,193.4836383,SEKER
226.3816048,190.5214245,SEKER
221.610481,194.6713489,SEKER
234.3350014,184.1392916,SEKER
