Eccentricity,roundness,Class
0.549812187,0.958027126,SEKER
0.411785251,0.887033637,SEKER
0.562727317,0.947849473,SEKER
0.498615976,0.903936374,SEKER
0.333679658,0.984877069,SEKER
0.52040066,0.943851783,SEKER
0.489477894,0.853079869,SEKER
0.513759558,0.967109244,SEKER
0.51408086,0.954239808,SEKER
0.553642225,0.97027823,SEKER
0.504102365,0.94625818,SEKER
0.446621924,0.958172836,SEKER
0.507365875,0.952581757,SEKER
0.529514251,0.948119004,SEKER
0.469924157,0.952623101,SEKER
0.482352224,0.965899596,SEKER
0.517871223,0.944079243,SEKER
0.510946829,0.957948542,SEKER
0.469883494,0.963425036,SEKER
0.52758671,0.976510834,SEKER
0.56099452,0.973459862,SEKER
0.475535642,0.970792739,SEKER
0.52126839,0.873118507,SEKER
0.645190802,0.921842182,SEKER
0.690678219,0.92092896,SEKER
0.402841974,0.951893863,SEKER
0.496263281,0.92490856,SEKER
0.546072628,0.968482156,SEKER
0.558465259,0.94210463,SEKER
0.589564969,0.969600136,SEKER
0.458286561,0.947378132,SEKER
0.57785815,0.91103962,SEKER
0.596968354,0.928537748,SEKER
0.494138341,0.976946683,SEKER
0.451705439,0.980968377,SEKER
0.436968432,0.980466376,SEKER
0.421302377,0.938453277,SEKER
0.43420694,0.941538949,SEKER
0.642831065,0.940247873,SEKER
0.5857513,0.967478615,SEKER
0.48544352,0.945354229,SEKER
0.48097147,0.977128658,SEKER
0.680580172,0.899489569,SEKER
0.583080944,0.9163206,SEKER
0.564236127,0.9593916,SEKER
0.504381753,0.942496457,SEKER
0.547784367,0.934338332,SEKER
0.560975566,0.947743902,SEKER
0.54428951,0.91458402,SEKER
0.539747143,0.977040422,SEKER
0.536918908,0.945408164,SEKER
0.559941518,0.952462642,SEKER
0.503143726,0.970325944,SEKER
0.489149967,0.962593368,SEKER
0.541530905,0.951253518,SEKER
0.539174328,0.941458316,SEKER
0.542701939,0.891708502,SEKER
0.511456521,0.984008731,SEKER
0.518261408,0.953586944,SEKER
0.578509868,0.954265043,SEKER
0.534673644,0.970006874,SEKER
0.532696427,0.962284651,SEKER
0.527019605,0.952088655,SEKER
0.574579254,0.927264249,SEKER
0.592813998,0.946779791,SEKER
0.566603091,0.970297635,SEKER
0.483095172,0.927383997,SEKER
0.658024288,0.949681133,SEKER
0.568317852,0.963472928,SEKER
0.555543833,0.959545923,SEKER
0.43959156,0.943595321,SEKER
0.416528466,0.953753937,SEKER
0.540717403,0.943721321,SEKER
0.505764488,0.975402341,SEKER
0.566415511,0.972334053,SEKER
0.542744878,0.961128742,SEKER
0.502601593,0.964439446,SEKER
0.522071263,0.952538233,SEKER
0.478674896,0.92142762,SEKER
0.616038378,0.935962647,SEKER
