EquivDiameter,Perimeter
190.1410973,610.291
191.2727505,638.018
193.4109041,624.11
195.4670618,645.884
195.896503,620.134
196.3477022,634.927
196.9886332,670.033
197.1243203,629.727
197.659696,635.681
198.1390121,631.934
198.4055115,640.765
198.9630385,638.558
199.0142269,640.594
199.1773023,642.626
199.1773023,641.105
199.2412169,636.888
199.3178875,644.454
199.3210815,639.782
199.5413417,638.666
199.7422367,635.011
199.8664991,636.401
200.3627781,638.857
200.499357,674.103
200.702465,656.711
200.8229633,657.431
200.8451524,646.721
200.9117052,656.305
201.0542441,641.826
201.1175623,650.954
201.2536289,642.092
201.2852592,649.681
201.2915846,662.532
201.3358572,656.404
201.5823407,640.718
201.7622728,639.974
201.8253689,640.338
201.8316774,654.535
201.897905,653.676
201.9325869,654.237
201.970415,645.085
201.9893264,652.651
202.030295,642.082
202.058653,669.313
202.1940863,663.582
202.2098285,648.566
202.3766203,654.893
202.5212716,658.216
202.5369884,653.595
202.5841313,665.493
202.6406883,644.051
202.6626784,654.808
202.6752432,652.419
202.7286345,646.556
202.8667587,649.59
202.9138251,653.602
202.9671537,657.166
203.0079249,675.385
203.0330109,643.009
203.2116585,653.76
203.3118831,653.85
203.4652564,649.012
203.4777716,651.651
203.4777716,655.131
203.4996712,663.914
203.6654067,657.571
203.6747839,649.583
203.7810289,664.789
203.802896,657.009
204.0401594,653.049
204.0619987,654.454
204.0869551,660.043
204.1368587,656.679
204.2771471,660.614
204.2802636,649.807
204.3425821,651.03
204.3456976,654.824
204.3550436,653.729
204.4484801,658.101
204.4702758,669.19
204.5107474,664.105
204.5761077,655.512
204.6227808,659.728
204.7316434,671.612
204.7471905,656.646
204.7751722,668.197
204.8155836,668.231
204.8280162,688.26
204.9429826,676.797
204.9988888,669.769
205.0113104,665.85
205.020626,652.684
205.0392561,655.703
205.1385878,663.071
205.1603102,655.511
205.1727219,667.966
205.2223615,659.456
205.2223615,652.214
205.2564817,663.915
205.2595833,653.809
205.4238989,648.385
205.4734778,653.801
205.5013606,680.621
205.5106541,654.338
205.5818899,664.658
205.711909,660.788
205.7490422,660.068
205.7583245,658.962
205.8356604,704.493
205.9593374,670.587
205.9686102,668.601
205.9871545,674.433
206.0026068,653.776
206.0118777,679.262
206.0273281,659.103
206.0458672,661.508
206.1632423,659.434
206.2157306,664.701
206.2836368,654.804
206.289809,659.036
206.3021528,665.61
206.3083245,658.605
206.3144959,666.841
206.3206672,657.349
206.3607759,656.077
206.3638608,664.412
206.4008768,655.414
206.4286344,659.987
206.5211327,657.523
206.6320761,657.067
206.6443995,658.284
206.6474802,662.418
206.6721244,653.512
206.7121649,669.259
206.7614349,666.339
206.7829868,657.754
206.7860655,658.848
206.8568621,690.171
206.8968668,670.224
206.9060976,659.408
206.9307109,669.076
206.9553214,663.03
207.1951199,664.363
207.2381313,671.696
207.2534904,655.729
207.4315723,665.826
207.4776031,669.341
207.5236236,656.339
207.5665669,661.029
207.5880353,670.945
207.6003019,669.571
207.6278992,664.46
207.6340314,683.315
207.6462953,662.898
207.652427,668.421
207.6830826,666.966
207.8485452,666.214
207.8975459,667.313
207.8975459,668.564
207.9434735,690.353
207.9434735,667.497
207.9679641,666.389
207.9771473,672.812
208.0414186,669.092
208.0505986,663.743
208.0750765,659.963
208.1454347,670.16
208.1729597,666.067
208.2188266,677.272
208.2249414,671.582
208.2463418,662.146
208.3135861,668.346
208.359422,680.595
208.3808087,667.289
208.4083026,673.914
208.4602256,666.585
208.4632795,668.091
208.524348,674.271
208.524348,662.129
208.6098138,677.064
208.6464313,661.403
208.6952446,668.737
208.6952446,661.138
208.734897,677.527
208.7409967,671.994
208.792837,666.439
208.8141792,684.324
208.8355193,672.539
208.8385677,668.704
208.8538091,676.402
208.9056214,689.626
208.9513274,671.507
209.0183449,671.844
209.0427095,669.531
209.0609812,677.311
209.0792512,665.686
209.0914304,667.785
209.1279635,674.863
209.252737,680.24
209.264906,669.762
209.2679482,665.156
209.2740324,678.85
209.3135751,684.481
209.319658,667.199
209.3409465,687.797
209.3470286,678.034
209.3591921,680.503
209.3683143,688.178
209.4078393,675.683
209.4139194,684.507
209.4260791,682.912
209.4686324,675.775
209.4929447,666.834
209.5081384,672.3
209.511177,677.676
209.5354844,687.567
209.5597889,674.657
209.5962405,678.24
209.6144638,668.332
209.6509059,667.908
209.6569789,673.987
209.6843055,689.551
209.7176998,670.896
209.7176998,669.456
209.8724584,670.069
209.8906578,673.252
209.8936909,685.556
209.9573755,683.382
209.9604076,675.213
209.9695037,667.845
209.9785994,670.997
209.9846629,670.02
209.9967896,667.638
210.0058841,677.314
210.0907472,681.015
210.1058977,674.874
210.1210471,668.424
210.1331659,669.575
210.1937492,690.412
210.2028352,676.387
210.2603707,670.391
210.281564,671.193
210.2936735,670.564
210.3360513,672.202
210.3390779,669.267
210.3451311,675.599
210.3663159,686.779
210.3784205,687.872
210.3935503,669.475
210.408679,683.109
210.4117046,671.947
