Area,ConvexArea,EquivDiameter,Perimeter
28395.0,28715.0,190.1410973,610.291
28734.0,29172.0,191.2727505,638.018
29380.0,29690.0,193.4109041,624.11
30008.0,30724.0,195.4670618,645.884
30140.0,30417.0,195.896503,620.134
30279.0,30600.0,196.3477022,634.927
30477.0,30970.0,196.9886332,670.033
30519.0,30847.0,197.1243203,629.727
30685.0,31044.0,197.659696,635.681
30834.0,31120.0,198.1390121,631.934
30917.0,31280.0,198.4055115,640.765
31091.0,31458.0,198.9630385,638.558
31107.0,31423.0,199.0142269,640.594
31158.0,31492.0,199.1773023,642.626
31158.0,31474.0,199.1773023,641.105
31178.0,31520.0,199.2412169,636.888
31202.0,31573.0,199.3178875,644.454
31203.0,31558.0,199.3210815,639.782
31272.0,31593.0,199.5413417,638.666
31335.0,31599.0,199.7422367,635.011
31374.0,31604.0,199.8664991,636.401
31530.0,31791.0,200.3627781,638.857
31573.0,32197.0,200.499357,674.103
31637.0,32045.0,200.702465,656.711
31675.0,32009.0,200.8229633,657.431
31682.0,32026.0,200.8451524,646.721
31703.0,32093.0,200.9117052,656.305
31748.0,32020.0,201.0542441,641.826
31768.0,32173.0,201.1175623,650.954
31811.0,32052.0,201.2536289,642.092
31821.0,32168.0,201.2852592,649.681
31823.0,32274.0,201.2915846,662.532
31837.0,32238.0,201.3358572,656.404
31915.0,32184.0,201.5823407,640.718
31972.0,32246.0,201.7622728,639.974
31992.0,32258.0,201.8253689,640.338
31994.0,32391.0,201.8316774,654.535
32015.0,32375.0,201.897905,653.676
32026.0,32349.0,201.9325869,654.237
32038.0,32308.0,201.970415,645.085
32044.0,32395.0,201.9893264,652.651
32057.0,32301.0,202.030295,642.082
32066.0,32481.0,202.058653,669.313
32109.0,32567.0,202.1940863,663.582
32114.0,32393.0,202.2098285,648.566
32167.0,32521.0,202.3766203,654.893
32213.0,32585.0,202.5212716,658.216
32218.0,32566.0,202.5369884,653.595
32233.0,32710.0,202.5841313,665.493
32251.0,32514.0,202.6406883,644.051
32258.0,32612.0,202.6626784,654.808
32262.0,32563.0,202.6752432,652.419
32279.0,32623.0,202.7286345,646.556
32323.0,32615.0,202.8667587,649.59
32338.0,32672.0,202.9138251,653.602
32355.0,32720.0,202.9671537,657.166
32368.0,32806.0,203.0079249,675.385
32376.0,32608.0,203.0330109,643.009
32433.0,32775.0,203.2116585,653.76
32465.0,32767.0,203.3118831,653.85
32514.0,32843.0,203.4652564,649.012
32518.0,32811.0,203.4777716,651.651
32518.0,32842.0,203.4777716,655.131
32525.0,33000.0,203.4996712,663.914
32578.0,32901.0,203.6654067,657.571
32581.0,32851.0,203.6747839,649.583
32615.0,33016.0,203.7810289,664.789
32622.0,32902.0,203.802896,657.009
32698.0,32994.0,204.0401594,653.049
32705.0,33021.0,204.0619987,654.454
32713.0,33020.0,204.0869551,660.043
32729.0,33066.0,204.1368587,656.679
32774.0,33120.0,204.2771471,660.614
32775.0,33062.0,204.2802636,649.807
32795.0,33091.0,204.3425821,651.03
32796.0,33111.0,204.3456976,654.824
32799.0,33087.0,204.3550436,653.729
32829.0,33154.0,204.4484801,658.101
32836.0,33225.0,204.4702758,669.19
32849.0,33245.0,204.5107474,664.105
32870.0,33198.0,204.5761077,655.512
32885.0,33225.0,204.6227808,659.728
32920.0,33376.0,204.7316434,671.612
32925.0,33252.0,204.7471905,656.646
32934.0,33401.0,204.7751722,668.197
32947.0,33336.0,204.8155836,668.231
32951.0,33524.0,204.8280162,688.26
32988.0,33461.0,204.9429826,676.797
33006.0,33458.0,204.9988888,669.769
33010.0,33374.0,205.0113104,665.85
33013.0,33289.0,205.020626,652.684
33019.0,33340.0,205.0392561,655.703
33051.0,33423.0,205.1385878,663.071
33058.0,33320.0,205.1603102,655.511
33062.0,33439.0,205.1727219,667.966
33078.0,33333.0,205.2223615,659.456
33078.0,33327.0,205.2223615,652.214
33089.0,33466.0,205.2564817,663.915
