Area,AspectRation,ConvexArea,EquivDiameter,MinorAxisLength,Perimeter
28395.0,1.197191424,28715.0,190.1410973,173.888747,610.291
28734.0,1.097356461,29172.0,191.2727505,182.7344194,638.018
29380.0,1.209712656,29690.0,193.4109041,175.9311426,624.11
30008.0,1.153638059,30724.0,195.4670618,182.5165157,645.884
30140.0,1.06079802,30417.0,195.896503,190.2792788,620.134
30279.0,1.171066849,30600.0,196.3477022,181.5101816,634.927
30477.0,1.146768336,30970.0,196.9886332,184.0390501,670.033
30519.0,1.165590535,30847.0,197.1243203,182.7372038,629.727
30685.0,1.165852108,31044.0,197.659696,183.1571463,635.681
30834.0,1.2008339,31120.0,198.1390121,180.8974686,631.934
30917.0,1.157884618,31280.0,198.4055115,184.4398709,640.765
31091.0,1.117664622,31458.0,198.9630385,188.3268476,638.558
31107.0,1.160455295,31423.0,199.0142269,184.9692526,640.594
31158.0,1.178826797,31492.0,199.1773023,183.6443122,642.626
31158.0,1.132879009,31474.0,199.1773023,187.1929601,641.105
31178.0,1.141582018,31520.0,199.2412169,186.5620882,636.888
31202.0,1.168963657,31573.0,199.3178875,184.4716842,644.454
31203.0,1.163315112,31558.0,199.3210815,184.8748759,639.782
31272.0,1.132851229,31593.0,199.5413417,187.535939,638.666
31335.0,1.177161395,31599.0,199.7422367,184.1634403,635.011
31374.0,1.207992784,31604.0,199.8664991,182.0088637,636.401
31530.0,1.136755746,31791.0,200.3627781,188.0664823,638.857
31573.0,1.171793345,32197.0,200.499357,185.4482507,674.103
31637.0,1.308863717,32045.0,200.702465,175.510446,656.711
31675.0,1.3828156,32009.0,200.8229633,171.2105592,657.431
31682.0,1.092574316,32026.0,200.8451524,192.2484159,646.721
31703.0,1.151845384,32093.0,200.9117052,187.2724497,656.305
31748.0,1.193690859,32020.0,201.0542441,184.1151053,641.826
31768.0,1.205504947,32173.0,201.1175623,183.2920681,650.954
31811.0,1.238051321,32052.0,201.2536289,180.9171228,642.092
31821.0,1.125106823,32168.0,201.2852592,189.9692019,649.681
31823.0,1.225284154,32274.0,201.2915846,181.8946963,662.532
31837.0,1.246471264,32238.0,201.3358572,180.4394219,656.404
31915.0,1.150240653,32184.0,201.5823407,188.0653069,640.718
31972.0,1.120866215,32246.0,201.7622728,190.6449473,639.974
31992.0,1.111757361,32258.0,201.8253689,191.4872537,640.338
31994.0,1.102632806,32391.0,201.8316774,192.4225318,654.535
32015.0,1.110108127,32375.0,201.897905,191.8101346,653.676
32026.0,1.305469433,32349.0,201.9325869,176.9318083,654.237
32038.0,1.233820224,32308.0,201.970415,181.9408668,645.085
32044.0,1.143813985,32395.0,201.9893264,188.9705403,652.651
32057.0,1.140593884,32301.0,202.030295,189.3033869,642.082
32066.0,1.364864213,32481.0,202.058653,173.2308993,669.313
32109.0,1.230899418,32567.0,202.1940863,182.3644962,663.582
32114.0,1.211220556,32393.0,202.2098285,183.8290361,648.566
32167.0,1.158103377,32521.0,202.3766203,188.2047159,654.893
32213.0,1.195286422,32585.0,202.5212716,185.2954324,658.216
32218.0,1.207974042,32566.0,202.5369884,184.4046839,653.595
32233.0,1.192040817,32710.0,202.5841313,185.5923729,665.493
32251.0,1.187892253,32514.0,202.6406883,186.0277835,644.051
32258.0,1.185348348,32612.0,202.6626784,186.2777558,654.808
32262.0,1.206953791,32563.0,202.6752432,184.5129929,652.419
32279.0,1.15713587,32623.0,202.7286345,188.5531418,646.556
32323.0,1.146526426,32615.0,202.8667587,189.591319,649.59
32338.0,1.189512059,32672.0,202.9138251,186.136273,653.602
32355.0,1.18737462,32720.0,202.9671537,186.3604099,657.166
32368.0,1.190581987,32806.0,203.0079249,186.1762293,675.385
32376.0,1.163725525,32608.0,203.0330109,188.3004274,643.009
32433.0,1.169286684,32775.0,203.2116585,188.0092368,653.76
32465.0,1.225977906,32767.0,203.3118831,183.6920946,653.85
32514.0,1.183349841,32843.0,203.4652564,187.1344232,649.012
32518.0,1.181605154,32811.0,203.4777716,187.2561106,651.651
32518.0,1.176673909,32842.0,203.4777716,187.6655865,655.131
32525.0,1.221823306,33000.0,203.4996712,184.2147342,663.914
32578.0,1.241712486,32901.0,203.6654067,182.8423057,657.571
32581.0,1.213605695,32851.0,203.6747839,184.9234713,649.583
32615.0,1.142115946,33016.0,203.7810289,191.002277,664.789
32622.0,1.328027061,32902.0,203.802896,177.1581895,657.009
32698.0,1.215348733,32994.0,204.0401594,185.1437243,653.049
32705.0,1.20266426,33021.0,204.0619987,186.1499298,654.454
32713.0,1.113340533,33020.0,204.0869551,193.4864621,660.043
32729.0,1.099961565,33066.0,204.1368587,194.793825,656.679
32774.0,1.188771846,33120.0,204.2771471,187.4792477,660.614
32775.0,1.159189666,33062.0,204.2802636,189.8094038,649.807
32795.0,1.213415795,33091.0,204.3425821,185.6002312,651.03
32796.0,1.190621317,33111.0,204.3456976,187.4192621,654.824
32799.0,1.156713709,33087.0,204.3550436,190.1123396,653.729
32829.0,1.172467827,33154.0,204.4484801,189.0026275,658.101
32836.0,1.138962252,33225.0,204.4702758,191.7587728,669.19
32849.0,1.269492841,33245.0,204.5107474,181.7436855,664.105
32870.0,1.159653709,33198.0,204.5761077,190.0206598,655.512
32885.0,1.230319577,33225.0,204.6227808,184.5596932,659.728
32920.0,1.144315272,33376.0,204.7316434,191.4622125,671.612
32925.0,1.207370616,33252.0,204.7471905,186.4615283,656.646
32934.0,1.167756413,33401.0,204.7751722,189.6018111,668.197
32947.0,1.047159612,33336.0,204.8155836,200.2495993,668.231
32951.0,1.221685649,33524.0,204.8280162,185.5215755,688.26
32988.0,1.20074238,33461.0,204.9429826,187.1772945,676.797
33006.0,1.187442927,33458.0,204.9988888,188.2429412,669.769
33010.0,1.203762369,33374.0,205.0113104,186.8900915,665.85
33013.0,1.190144523,33289.0,205.020626,188.0291423,652.684
33019.0,1.197051022,33340.0,205.0392561,187.5026272,655.703
33051.0,1.137563711,33423.0,205.1385878,192.4739417,663.071
33058.0,1.194635275,33320.0,205.1603102,187.8781612,655.511
33062.0,1.169973519,33439.0,205.1727219,189.7813412,667.966
33078.0,1.316483846,33333.0,205.2223615,178.9312328,659.456
33078.0,1.163022358,33327.0,205.2223615,190.3548121,652.214
33089.0,1.119093377,33466.0,205.2564817,194.2070489,663.915
